2026-05-09 22:24:48 - Action: pump_control, State: on, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: off, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: on, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: off, Mode: 
2026-05-09 22:48:47 - Action: set_mode, State: , Mode: manual
2026-05-09 22:49:19 - Action: set_mode, State: , Mode: manual
2026-05-09 23:00:07 - SUCCESS: Set state to on
2026-05-09 23:00:09 - SUCCESS: Set state to on
2026-05-09 23:00:10 - SUCCESS: Set state to on
2026-05-09 23:02:48 - SUCCESS: Set state to on
2026-05-09 23:08:25 - MODE SUCCESS: manual
2026-05-09 23:11:09 - RECV: {"action":"set_mode","mode":"auto","force_off":"1"} | RAW: 
2026-05-10 08:38:10 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:41:56 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:41:57 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 08:42:01 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 08:42:05 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 08:42:34 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 08:42:39 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 09:01:44 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 09:12:27 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 09:12:36 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 09:12:39 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 09:13:10 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 09:13:19 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 09:13:29 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 09:13:31 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 09:59:13 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 09:59:15 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 09:59:31 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 09:59:45 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 10:00:19 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 10:14:10 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 10:14:17 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 10:14:27 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 10:14:39 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 10:16:11 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 10:16:12 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 10:16:20 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 10:23:30 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 10:23:37 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 10:42:43 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 10:42:56 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 10:43:05 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 10:45:48 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 10:45:49 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 10:45:51 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 10:45:52 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 10:45:55 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:14:01 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 11:14:03 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 11:14:06 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:14:20 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:14:27 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 11:14:44 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 11:14:45 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:15:57 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:16:31 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:16:38 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:16:45 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:16:46 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:17:48 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:17:49 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:24:06 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:24:07 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:25:06 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:25:07 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:28:28 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:28:39 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:50:37 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:50:45 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:51:20 - RECV: {"action":"manual_dose","amount":"1"} | RAW: action=manual_dose&amount=1
2026-05-10 11:51:20 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:51:21 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:51:29 - RECV: {"action":"manual_dose","amount":"100"} | RAW: action=manual_dose&amount=100
2026-05-10 11:51:47 - RECV: {"action":"manual_dose","amount":"1"} | RAW: action=manual_dose&amount=1
2026-05-10 11:51:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:51:49 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 11:56:00 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 11:56:13 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 12:46:26 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 12:46:28 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 12:46:33 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 12:47:03 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 12:47:07 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 12:47:09 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 12:47:11 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 12:48:30 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 13:11:37 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 13:11:39 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 13:11:46 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 13:12:00 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 13:22:35 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 13:22:36 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 13:22:44 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 13:22:49 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 13:24:37 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 13:24:39 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 13:24:58 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 13:25:22 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 13:59:11 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 14:02:23 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 14:45:10 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 14:45:16 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 14:45:20 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 14:45:21 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 14:45:51 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"30"} | RAW: action=save_auto_schedule&run_min=1&interval_min=30
2026-05-10 14:47:29 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 14:48:33 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 14:48:38 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 14:48:42 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"30"} | RAW: action=save_auto_schedule&run_min=1&interval_min=30
2026-05-10 14:49:42 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"30"} | RAW: action=save_auto_schedule&run_min=1&interval_min=30
2026-05-10 14:49:51 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 14:49:53 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 14:49:55 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 14:50:05 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"30"} | RAW: action=save_auto_schedule&run_min=1&interval_min=30
2026-05-10 14:50:14 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"2"} | RAW: action=save_auto_schedule&run_min=1&interval_min=2
2026-05-10 14:50:29 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"2"} | RAW: action=save_auto_schedule&run_min=1&interval_min=2
2026-05-10 15:20:19 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 15:21:19 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 15:23:19 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 15:24:19 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 15:35:47 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 15:35:50 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 15:35:53 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 15:37:45 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"30"} | RAW: action=save_auto_schedule&run_min=1&interval_min=30
2026-05-10 15:38:38 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"30"} | RAW: action=save_auto_schedule&run_min=1&interval_min=30
2026-05-10 15:49:01 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 15:49:06 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 15:49:09 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 15:49:14 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 15:49:17 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 15:49:23 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"30"} | RAW: action=save_auto_schedule&run_min=1&interval_min=30
2026-05-10 15:49:39 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:06:11 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"30"} | RAW: action=save_auto_schedule&run_min=1&interval_min=30
2026-05-10 16:06:39 - RECV: {"action":"save_auto_schedule","run_min":"2","interval_min":"2"} | RAW: action=save_auto_schedule&run_min=2&interval_min=2
2026-05-10 16:06:46 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:08:46 - RECV: {"action":"auto_pump_on","duration_sec":"120"} | RAW: action=auto_pump_on&duration_sec=120
2026-05-10 16:10:46 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:10:53 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 16:11:02 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:14:31 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 16:15:03 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:19:14 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 16:19:19 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:19:28 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:21:28 - RECV: {"action":"auto_pump_on","duration_sec":"120"} | RAW: action=auto_pump_on&duration_sec=120
2026-05-10 16:23:28 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:23:45 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:23:48 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 16:24:29 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:25:29 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 16:26:29 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:28:18 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"1"} | RAW: action=save_auto_schedule&run_min=1&interval_min=1
2026-05-10 16:28:46 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:28:52 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 16:29:12 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 16:29:33 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:30:02 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 16:30:08 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:39:36 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 16:40:05 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:46:37 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:46:59 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:47:23 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:47:53 - RECV: {"action":"auto_pump_on","duration_sec":"18"} | RAW: action=auto_pump_on&duration_sec=18
2026-05-10 16:48:11 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:48:41 - RECV: {"action":"auto_pump_on","duration_sec":"18"} | RAW: action=auto_pump_on&duration_sec=18
2026-05-10 16:48:59 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:49:11 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:49:15 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 16:49:19 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 16:49:59 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:50:47 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 16:52:47 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 16:53:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:55:48 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 16:56:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 16:58:48 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 16:59:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:01:48 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:02:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:04:57 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 17:09:47 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:10:47 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:12:47 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:13:47 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:15:47 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:16:47 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:18:47 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:19:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:21:48 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:22:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:24:48 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:25:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:27:48 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:28:49 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:30:49 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:31:49 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:32:15 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 17:32:18 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 17:33:09 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 17:33:10 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 17:33:15 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:33:23 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 17:33:35 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:33:45 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
